Tally N.,Tally Description,Energy,Value,Error
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1e-07,1.69124e-07,5.09995e-08
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,4.1399e-07,2.03621e-06,3.16216e-07
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,5.3158e-07,1.05413e-06,3.05623e-07
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.825599999999999e-07,1.33924e-06,3.92166e-07
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,8.7643e-07,1.85514e-06,4.18635e-07
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.1252999999999998e-06,3.37173e-06,5.56636e-07
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.445e-06,4.07983e-06,6.64375e-07
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.8554e-06,3.92424e-06,6.03838e-07
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.3824e-06,7.11963e-06,8.65336e-07
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.059e-06,5.6595e-06,6.4564e-07
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.9279e-06,3.27835e-06,3.77919e-07
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,5.043499999999999e-06,1.48778e-06,1.71905e-07
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.4759e-06,1.56805e-05,1.42328e-06
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,8.3153e-06,8.38242e-06,6.70832e-07
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.0677e-05,2.8766e-05,1.60802e-06
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.371e-05,3.00973e-05,1.49487e-06
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.7604e-05,1.19245e-05,5.49741e-07
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.2603e-05,2.25236e-06,9.58452e-08
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.9023e-05,3.35873e-05,8.12826e-07
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.7266e-05,0.000215122,6.20926e-06
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,4.7851e-05,0.000111939,3.14649e-06
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.1442e-05,0.000817357,1.35374e-05
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,7.889299999999999e-05,0.00157791,2.37195e-05
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0001013,0.00115051,2.10616e-05
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0001300699999999,0.000885499,1.31594e-05
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.00016702,0.00115586,1.74375e-05
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0002144499999999,0.000893748,9.10643e-06
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.00027536,0.00107243,9.93452e-06
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.00035358,0.0027948,2.32888e-05
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.000454,0.00501912,3.87797e-05
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.00058295,0.00700974,4.78162e-05
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0007485199999999,0.00854896,4.69474e-05
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.00096112,0.0142205,6.15586e-05
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0012341,0.0172951,5.65425e-05
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0015845999999999,0.028441,8.00456e-05
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0020347,0.0625967,0.000155806
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0022486999999999,0.0251117,5.69985e-05
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0024852,0.0456231,9.13815e-05
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0026125999999999,0.0266004,5.09268e-05
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0027465,0.0222512,4.2219e-05
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0030354,0.0692971,0.000100002
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0033545999999999,0.0556304,7.31941e-05
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0037074,0.0910364,0.000117574
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0043073999999999,0.136699,0.00015023
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0055308,0.332343,0.000305904
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0071017,0.52242,0.000366081
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0091187999999999,0.7872,0.000481388
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.010595,0.661429,0.00034469
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0117089999999999,0.537386,0.000245652
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0150339999999999,1.76348,0.000678033
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0193039999999999,2.50073,0.000792598
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.021875,1.60907,0.000506541
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.023579,1.09161,0.000339461
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.024176,0.386717,0.000126538
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0247879999999999,0.398286,0.000136045
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0260579999999999,0.832462,0.000284834
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.027,0.622032,0.000189192
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.028501,0.998072,0.000239502
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0318279999999999,2.24253,0.000500083
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.034307,1.6794,0.000401288
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.040868,4.44953,0.00091606
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0463089999999999,3.63108,0.000763795
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.052475,3.9694,0.00079529
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0565619999999999,2.54949,0.000553894
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.06738,6.48772,0.00126539
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0720239999999999,2.66749,0.00049186
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.079499,4.13793,0.000707955
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0825029999999999,1.60877,0.000327409
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.086517,2.09775,0.000386305
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.098036,5.69075,0.000872084
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.11109,5.48268,0.000940628
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.1167899999999999,2.10599,0.00046049
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.1227699999999999,2.05365,0.000428415
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.12907,2.01346,0.000445554
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.13569,1.98389,0.000421962
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.14264,1.96774,0.000443495
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.1499599999999999,1.96109,0.000480788
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.15764,1.94888,0.000449434
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.16573,1.94479,0.000452925
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.1742199999999999,1.92829,0.000432251
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.18316,1.91747,0.000421281
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.19255,1.9018,0.000469097
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.20242,1.88535,0.000485613
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.2128,1.86539,0.000420225
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.22371,1.83841,0.000446059
4,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.23518,1.81245,0.00049314
