Energy,Value,Error
4.0,0.0,0.0
5.0,0.0,0.0
6.0,0.06311,0.547
7.0,0.06872,0.42
8.0,0.05828,0.2239999999999999
9.0,0.04511,0.0279999999999999
10.0,0.0378,0.1989999999999999
11.0,0.03589,0.267
12.0,0.03714,0.251
13.0,0.04057,0.175
14.0,0.04499,0.088
15.0,0.0483,0.051
16.0,0.04872,0.069
17.0,0.04671,0.139
18.0,0.04529,0.22
19.0,0.0481,0.22
20.0,0.05705,0.12
21.0,0.07128,0.049
22.0,0.08811,0.13
23.0,0.1046,0.1889999999999999
24.0,0.1184,0.218
25.0,0.1288,0.222
26.0,0.1358,0.209
27.0,0.141,0.185
28.0,0.1462,0.159
29.0,0.1532,0.139
30.0,0.1626,0.131
31.0,0.1737,0.1369999999999999
32.0,0.1847,0.15
33.0,0.1934,0.157
34.0,0.1996,0.13
35.0,0.211,0.055
36.0,0.2514,0.151
37.0,0.3566,0.207
38.0,0.54,0.15
39.0,0.7466,0.069
40.0,0.8651,0.022
41.0,0.8164,0.038
42.0,0.6249,0.057
43.0,0.3907,0.077
44.0,0.2026,0.109
