Energy,Value,Error
5.0,0.0,0.0
6.0,0.0,0.0
7.0,0.06468,2.37
8.0,0.2355,0.0559999999999999
9.0,0.2695,0.121
10.0,0.2761,0.159
11.0,0.3227,0.201
12.0,0.3697,0.205
13.0,0.3569,0.1369999999999999
14.0,0.2837,0.075
15.0,0.2441,0.268
16.0,0.3261,0.1009999999999999
17.0,0.4845,0.155
18.0,0.5947,0.2319999999999999
19.0,0.6,0.21
20.0,0.5436,0.118
21.0,0.4869,0.051
22.0,0.452,0.187
23.0,0.432,0.346
24.0,0.4234,0.481
25.0,0.4403,0.501
26.0,0.4998,0.364
27.0,0.5881,0.185
28.0,0.6571,0.086
29.0,0.6684,0.076
30.0,0.6305,0.13
31.0,0.5823,0.209
32.0,0.5474,0.258
33.0,0.5141,0.3
34.0,0.4668,0.39
35.0,0.5042,0.352
36.0,1.052,0.114
37.0,2.526,0.211
38.0,4.194,0.15
39.0,4.954,0.071
40.0,5.009,0.07
41.0,4.376,0.079
42.0,2.788,0.122
43.0,1.162,0.143
44.0,0.3359,0.206
46.0,0.08704,0.954
